IDs         length   Exptl.  resolution  R-factor FreeRvalue
3LM3A       449      XRAY        1.440    0.14    0.16
5B1RA       127      XRAY        1.200    0.13    0.15
4R1JA       197      XRAY        1.400    0.18    0.20
4PUXA       160      XRAY        1.430    0.12    0.15
1FSGA       233      XRAY        1.050    0.12    0.15
2FKKA       206      XRAY        1.200    0.12    0.14
3WDNA       125      XRAY        0.860    0.11    0.14
1MN8A       100      XRAY        1.000    0.13    0.17
2OHWA       133      XRAY        1.400    0.20    0.23
2J73A       103      XRAY        1.400    0.15    0.21
3LTIA       296      XRAY        1.600    0.21    0.23
1UCRA        78      XRAY        1.200    0.14    0.18
2JEKA       145      XRAY        1.380    0.17    0.20
2V9VA       135      XRAY        1.100    0.12    0.14
2RHFA        77      XRAY        1.100    0.18    0.19
4RAXA       252      XRAY        1.450    0.15    0.18
5DBLA       132      XRAY        1.600    0.18    0.21
2VHKA       206      XRAY        0.940    0.12    0.13
4A56A        93      XRAY        1.240    0.17    0.19
3LHIA       232      XRAY        1.330    0.13    0.16
5M33A       101      XRAY        1.280    0.14    0.17
1W6SB        74      XRAY        1.200    0.15    0.18
4V4M0       196      XRAY        1.450    0.18    0.21
5B1NA        69      XRAY        1.330    0.18    0.21
1LMIA       131      XRAY        1.500    0.20    0.25
3LG3A       435      XRAY        1.400    0.13    0.17
3WCQA        97      XRAY        0.970    0.15    0.17
2QSBA        89      XRAY        1.300    0.15    0.18
5JEEA       231      XRAY        1.490    0.20    0.22
4Q98A       369      XRAY        1.300    0.12    0.16
3UXJA       290      XRAY        1.400    0.13    0.17
4W7LA       449      XRAY        1.050    0.13    0.15
4GUCA       120      XRAY        1.400    0.15    0.19
1IS9A       363      XRAY        1.030    0.13    0.15
4QA8A       229      XRAY        1.100    0.17    0.19
5LI7A       414      XRAY        1.580    0.17    0.20
5D66A       198      XRAY        1.000    0.14    0.17
1N8VA       112      XRAY        1.390    0.18    0.20
3P3CA       274      XRAY        1.250    0.15    0.16
2P14A       192      XRAY        1.500    0.18    0.21
3PMCA       139      XRAY        1.490    0.18    0.21
5FENA       133      XRAY        1.550    0.20    0.24
3H7HB       106      XRAY        1.550    0.19    0.22
2CIUA       127      XRAY        1.600    0.20    0.25
3L0FB       172      XRAY        1.350    0.14    0.17
